Date,4/25/2011,
Time,10:41:22,
Y_Unit_Label,Acceleration (g),
X_Dimension,Time (s),
X0,40:59.2,
Delta_X,0.0005,
***End_of_Header***,,
X_Value,Acceleration - Dev1_ai0,Comment
0.2275,-0.376413,
0.228,-0.368022,
0.2285,-0.361059,
0.229,-0.352092,
0.2295,-0.343374,
0.23,-0.33721,
0.2305,-0.328662,
0.231,-0.318634,
0.2315,-0.31152,
0.232,-0.3018,
0.2325,-0.294221,
0.233,-0.284082,
0.2335,-0.27668,
0.234,-0.267575,
0.2345,-0.258196,
0.235,-0.25063,
0.2355,-0.239213,
0.236,-0.230515,
0.2365,-0.22234,
0.237,-0.210989,
0.2375,-0.200875,
0.238,-0.192321,
0.2385,-0.181009,
0.239,-0.171491,
0.2395,-0.160422,
0.24,-0.151009,
0.2405,-0.139985,
0.241,-0.130658,
0.2415,-0.120544,
0.242,-0.109933,
0.2425,-0.099145,
0.243,-0.088986,
0.2435,-0.079108,
0.244,-0.068851,
0.2445,-0.059392,
0.245,-0.051061,
0.2455,-0.038321,
0.246,-0.02877,
0.2465,-0.01795,
0.247,-0.007627,
0.2475,0.003004,
0.248,0.014729,
0.2485,0.02403,
0.249,0.034517,
0.2495,0.046085,
0.25,0.056774,
0.2505,0.067562,
0.251,0.077041,
0.2515,0.089178,
0.252,0.099547,
0.2525,0.109686,
0.253,0.121234,
0.2535,0.130352,
0.254,0.140996,
0.2545,0.150887,
0.255,0.161197,
0.2555,0.170478,
0.256,0.181096,
0.2565,0.190168,
0.257,0.200203,
0.2575,0.210035,
0.258,0.219847,
0.2585,0.229574,
0.259,0.237729,
0.2595,0.247619,
0.26,0.25601,
0.2605,0.266778,
0.261,0.27606,
0.2615,0.284405,
0.262,0.293228,
0.2625,0.301809,
0.263,0.310363,
0.2635,0.320077,
0.264,0.328179,
0.2645,0.336465,
0.265,0.344948,
0.2655,0.352926,
0.266,0.360937,
0.2665,0.367899,
0.267,0.377292,
0.2675,0.385205,
0.268,0.392037,
0.2685,0.399235,
0.269,0.406984,
0.2695,0.413934,
0.27,0.420425,
0.2705,0.426602,
0.271,0.432988,
0.2715,0.439938,
0.272,0.445492,
0.2725,0.452639,
0.273,0.457119,
0.2735,0.463446,
0.274,0.468759,
0.2745,0.474431,
0.275,0.478859,
0.2755,0.482894,
0.276,0.487741,
0.2765,0.492503,
0.277,0.497396,
0.2775,0.501398,
0.278,0.505983,
0.2785,0.508675,
0.279,0.513149,
0.2795,0.515134,
0.28,0.518815,
0.2805,0.523393,
0.281,0.52657,
0.2815,0.529367,
0.282,0.532694,
0.2825,0.534483,
0.283,0.535963,
0.2835,0.536913,
0.284,0.539572,
0.2845,0.541557,
0.285,0.543207,
0.2855,0.543496,
0.286,0.543961,
0.2865,0.542513,
0.287,0.544373,
0.2875,0.545192,
0.288,0.543659,
0.2885,0.543463,
0.289,0.544013,
0.2895,0.542048,
0.29,0.541262,
0.2905,0.541151,
0.291,0.539146,
0.2915,0.537889,
0.292,0.536467,
0.2925,0.53426,
0.293,0.532911,
0.2935,0.531129,
0.294,0.529105,
0.2945,0.52655,
0.295,0.521795,
0.2955,0.519463,
0.296,0.517085,
0.2965,0.512107,
0.297,0.509042,
0.2975,0.505767,
0.298,0.501293,
0.2985,0.498011,
0.299,0.492974,
0.2995,0.487151,
0.3,0.482068,
0.3005,0.478296,
0.301,0.473272,
0.3015,0.466905,
0.302,0.461566,
0.3025,0.455259,
0.303,0.449979,
0.3035,0.442571,
0.304,0.436407,
0.3045,0.428587,
0.305,0.423366,
0.3055,0.418539,
0.306,0.411235,
0.3065,0.405438,
0.307,0.397906,
0.3075,0.390694,
0.308,0.383142,
0.3085,0.375183,
0.309,0.368541,
0.3095,0.359902,
0.31,0.352775,
0.3105,0.345007,
0.311,0.336675,
0.3115,0.327485,
0.312,0.318525,
0.3125,0.309433,
0.313,0.300092,
0.3135,0.291289,
0.314,0.282381,
0.3145,0.274311,
0.315,0.263798,
0.3155,0.254274,
0.316,0.246231,
0.3165,0.235364,
0.317,0.225761,
0.3175,0.216866,
0.318,0.20731,
0.3185,0.197976,
0.319,0.187843,
0.3195,0.17767,
0.32,0.168775,
0.3205,0.158243,
0.321,0.149072,
0.3215,0.139005,
0.322,0.128597,
0.3225,0.11771,
0.323,0.107459,
0.3235,0.09656,
0.324,0.085713,
0.3245,0.076458,
0.325,0.066135,
0.3255,0.055124,
0.326,0.044833,
